27005,055410197901,12,3,2700,5328
27005,055410197901,09,3,400,5000
27006,055410197901,12,9,850,18478
27006,055410197901,09,6,400,6200
27007,055410197901,12,1,1314,1314
27007,055410197901,09,1,400,400
27008,055410197901,12,9,2000,16200
27008,055410197901,09,6,400,8400
27009,055410197901,12,5,1100,7728
27009,055410197901,09,4,2000,5400
27010,055410197901,12,5,1100,29100
27010,055410197901,09,5,2000,5800
27011,055410197901,12,2,2700,5800
27011,055410197901,09,3,400,5000
27012,055410197901,12,6,1314,16028
27012,055410197901,09,5,2000,7900
27013,055410197901,12,3,2000,10000
27013,055410197901,09,5,500,15100
27014,055410197901,12,4,2000,14628
27014,055410197901,09,4,2000,5400
27015,055410197901,12,5,1212,9240
27015,055410197901,09,10,400,34100
27016,055410197901,12,6,1100,22414
27016,055410197901,09,14,500,34600
27017,055410197901,12,3,2000,4628
27017,055410197901,09,3,500,5100
27022,055410197901,12,4,120,3120
27022,055410197901,09,4,400,7000
27023,055410197901,12,5,20000,32000
27023,055410197901,09,4,2000,5400
27024,055410197901,12,6,850,9562
27024,055410197901,09,5,400,5800
27046,055410197901,09,1,2800,2800
27047,055410197901,12,5,1212,9540
27047,055410197901,09,12,2000,44500
27048,055410197901,12,1,1314,1314
27048,055410197901,09,1,400,400
27061,055410197901,12,180,50,30000
27062,055410197901,12,60,150,9000
27063,055410197901,12,150,50,24000
27064,055410197901,12,180,200,25500
27065,055410197901,12,90,250,10500
27066,055410197901,12,90,50,12000
27067,055410197901,12,330,200,52500
27068,055410197901,12,60,100,7500
27069,055410197901,12,150,200,16500
27070,055410197901,12,30,250,7500
27071,055410197901,12,60,150,9000
27072,055410197901,12,210,200,36000
27073,055410197901,12,60,150,9000
27074,055410197901,12,187,3800,77600
27075,055410197901,12,180,150,34500
27086,055410197901,12,45,300,7980
27087,055410197901,12,2,1100,2414
27087,055410197901,09,10,400,32400
27088,055410197901,12,4,850,9550
27088,055410197901,09,4,2000,5400
27097,055410197901,12,6,1100,11312
27097,055410197901,09,5,2000,5800
27098,055410197901,12,5,1100,8428
27098,055410197901,09,4,400,5500
27108,055410197901,12,2,1100,3800
27108,055410197901,09,5,2600,7400
27109,055410197901,12,2,1100,2414
27109,055410197901,09,2,400,800
27111,055410197901,12,2,1314,3314
27111,055410197901,09,6,400,11000
27115,055410197901,12,10,2700,32128
27115,055410197901,09,16,2600,35800
27116,055410197901,12,4,2700,15328
27116,055410197901,09,4,400,5500
27117,055410197901,12,4,850,6164
27117,055410197901,09,4,2000,5400
27118,055410197901,12,2,1100,2414
27118,055410197901,09,2,400,800
27126,055410197901,12,2,1800,3800
27126,055410197901,09,3,400,5000
27127,055410197901,09,2,2800,5600
27128,055410197901,12,30,150,4500
27129,055410197901,12,60,150,10500
27130,055410197901,12,150,200,25500
27131,055410197901,12,3,5500,25500
27132,055410197901,12,120,50,16500
27133,055410197901,12,120,250,25500
